ln_output1802_all,hugue_1700_pc,poploss_keyser,ln_workers1802_all,ln_looms1802_all,mi_ln_input1802_all,no_looms,ln_popcity1802,vieh1816_schaf_ganz_veredelt_pc,pop1816_prot_pc,no_hugue_possible,imputed_dummy,textil_1680_dummy
7.570443153,0,NA,3.33220458,3.113515377,6.327936649,0,9.679843903,0.111884713,0.192916632,1,0,0
11.36681271,0,NA,4.454347134,4.46014452,10.62044907,0,7.88795948,0.111884713,0.427731514,1,0,0
7.673223019,0,NA,2.995732307,3.020424843,6.966024399,0,8.144968987,0.016102351,0.265607595,1,0,0
11.08974457,0,NA,5.351858139,4.72295332,10.90742302,0,8.144968987,0.016102351,0.265607595,1,0,0
8.131530762,0,NA,2.708050251,1.871802211,7.432483673,0,6.357842445,0.016102351,0.246913582,1,0,0
8.881835938,0,NA,3.526360512,2.862200975,8.476370811,0,7.352441311,0.111905485,0.208430916,1,0,0
11.11840057,0,NA,4.442651272,4.10264349,10.83958054,0,7.420578957,0.111905485,0.499157786,1,0,0
8.756210327,0,NA,4.219507694,3.238678455,8.06463623,0,7.420578957,0.111905485,0.499157786,1,0,0
10.27849388,0,NA,3.828641415,3.34990406,9.841611862,0,6.467698574,0.111905485,0.447136551,1,0,0
8.006367683,0,NA,3.583518982,3.068053007,7.539027214,0,8.027476311,0.068920612,0.545973718,1,0,0
6.919683933,0,NA,0.693147182,-0.693147182,6.226536751,1,7.461065292,0.068920612,0.638777554,1,0,0
10.32875538,0,NA,4.64439106,4.47163868,10.17221642,0,7.461065292,0.068920612,0.638777554,1,0,0
11.30020237,0,NA,6.46146822,4.600157738,11.15880394,0,8.202208519,0.06892249,0.657496572,1,0,0
8.055157661,0,NA,2.708050251,2.602689743,7.584773064,0,6.926577091,0.06892249,0.403415143,1,0,0
10.70324421,0,NA,5.537334442,4.740574837,10.30895233,0,7.090909958,0.06892249,0.863636374,1,0,0
9.635607719,0,NA,3.583518982,-0.693147182,9.200493813,1,8.1414814,0.009132154,0.206327379,1,1,0
8.049746513,0,NA,2.302585125,2.740839958,7.696212769,0,7.501634598,0.048214935,0.438781172,1,0,0
9.424564362,0,NA,3.044522524,2.917770624,8.921056747,0,7.501634598,0.048214935,0.438781172,1,0,0
7.37775898,0,NA,2.079441547,2.140066147,6.396929741,0,7.29029274,0.048214935,0.406139314,1,0,0
7.560080528,0,NA,2.484906673,1.871802211,7.313220501,0,7.095064163,0.048214935,0.642801583,1,0,0
7.200424671,0,NA,1.609437943,-0.693147182,6.46492672,1,8.935640335,0.025881087,0.414677739,1,1,0
11.55310726,0,NA,5.993961334,4.840242386,10.82329845,0,8.935640335,0.025881087,0.414677739,1,1,0
8.070905685,0,NA,4.094344616,3.921973228,7.673223019,0,8.627840042,0.025881087,0.607319295,1,0,0
7.863266945,0,NA,2.079441547,0.405465096,7.495542049,0,8.627840042,0.025881087,0.607319295,1,0,0
11.20231628,0,NA,5.568344593,5.150397301,10.91508865,0,8.627840042,0.025881087,0.607319295,1,0,0
7.130898952,0,NA,1.386294365,-0.693147182,6.802394867,1,8.627840042,0.025881087,0.607319295,1,0,0
7.696212769,0,NA,3.583518982,3.597312212,7.346010208,0,6.966024399,0.025881087,0.309929788,1,0,0
7.130898952,0,NA,2.302585125,1.504077435,6.813444614,0,7.135687351,0.025881087,0.621599972,1,0,0
7.640123367,0,NA,3.295836926,3.113515377,7.313220501,0,7.135687351,0.025881087,0.621599972,1,0,0
7.710653305,0,NA,1.791759491,1.252762914,7.621195316,0,6.709304333,0.025881087,0.758373201,1,0,0
11.26605225,0,NA,4.820281506,4.388257027,11.08521461,0,6.824373722,0.025881087,0.85744679,1,0,0
12.31228256,0,NA,5.886104107,5.349485874,11.89761639,0,8.906122208,0.064014688,0.730261445,1,0,0
9.492506981,0,NA,3.931825638,3.817712307,9.104979515,0,8.906122208,0.064014688,0.730261445,1,0,0
6.97166872,0,NA,1.791759491,-0.693147182,6.551080227,1,8.906122208,0.064014688,0.730261445,1,0,0
7.590852261,0,NA,4.043051243,4.051784992,6.956545353,0,7.190676212,0.064014688,0.068666667,1,0,0
8.272826195,0,NA,3.526360512,3.113515377,7.928766251,0,7.868254185,0.064014688,0.842692733,1,0,0
11.84939766,0,NA,5.811141014,5.223054886,11.53923607,0,7.868254185,0.064014688,0.842692733,1,0,0
8.918650627,0,NA,2.484906673,1.871802211,8.513185501,0,7.209340096,0.064014688,0.37811321,1,0,0
